YEAR,HEIGHTM,TOTMEMBERS,success,O2USED,HOST_FACTOR,has_deaths
2022,6814,10,1,0,Nepal,0
2022,6814,12,0,0,Nepal,0
2022,6814,10,0,0,Nepal,0
2022,6814,2,0,0,Nepal,0
2022,6814,1,1,0,Nepal,0
2022,5630,2,1,0,Nepal,0
2022,8091,13,1,1,Nepal,0
2022,8091,6,1,1,Nepal,0
2022,8091,7,1,1,Nepal,0
2022,7525,8,0,0,Nepal,0
2022,7152,17,0,0,Nepal,0
2022,7152,2,0,0,Nepal,0
2022,8167,12,1,1,Nepal,0
2022,8167,7,1,1,Nepal,1
2022,8167,3,0,1,Nepal,0
2022,8167,6,1,1,Nepal,0
2022,6332,4,1,0,Nepal,0
2022,6593,2,1,0,Nepal,0
2022,8849,0,1,1,Nepal,0
2022,8849,10,1,1,Nepal,0
2022,8849,18,1,1,Nepal,0
2022,8849,16,1,1,Nepal,0
2022,8849,16,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,3,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,19,1,1,Nepal,0
2022,8849,7,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,5,1,1,Nepal,0
2022,8849,11,1,1,Nepal,0
2022,8849,15,1,1,Nepal,1
2022,8849,18,1,1,Nepal,0
2022,8849,9,1,1,Nepal,0
2022,8849,1,1,1,Nepal,0
2022,8849,19,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,10,1,1,Nepal,0
2022,8849,7,1,1,Nepal,1
2022,8849,14,1,1,Nepal,0
2022,8849,14,1,1,Nepal,0
2022,8849,12,1,1,Nepal,0
2022,8849,8,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,9,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,5,1,1,Nepal,0
2022,8849,11,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,2,1,1,Nepal,0
2022,8849,1,1,1,Nepal,0
2022,8849,3,1,1,Nepal,0
2022,8849,1,0,1,Nepal,0
2022,8849,1,0,0,Nepal,0
2022,8849,4,0,1,Nepal,0
2022,8849,21,1,1,China,0
2022,8849,13,1,1,China,0
2022,7455,2,0,0,Nepal,0
2022,7126,6,1,0,Nepal,0
2022,7126,10,1,0,Nepal,0
2022,7126,4,0,0,Nepal,0
2022,7126,15,0,0,Nepal,0
2022,8586,9,1,1,Nepal,0
2022,8586,12,1,1,Nepal,0
2022,8586,13,1,1,Nepal,1
2022,8586,12,1,1,Nepal,0
2022,8586,6,1,1,Nepal,0
2022,8586,2,1,1,Nepal,0
2022,8586,3,1,0,Nepal,0
2022,8586,1,1,1,Nepal,0
2022,8586,1,1,1,Nepal,0
2022,8586,10,1,1,Nepal,0
2022,6043,2,1,0,Nepal,0
2022,8516,0,1,1,Nepal,0
2022,8516,15,1,1,Nepal,0
2022,8516,10,1,1,Nepal,0
2022,8516,6,1,1,Nepal,0
2022,8516,4,1,1,Nepal,0
2022,8516,5,1,1,Nepal,0
2022,8516,1,1,1,Nepal,0
2022,8516,5,1,1,Nepal,0
2022,8516,5,1,1,Nepal,0
2022,8516,4,1,1,Nepal,0
2022,8516,13,1,1,Nepal,0
2022,8516,18,1,1,Nepal,0
2022,8516,6,1,1,Nepal,0
2022,8516,2,1,1,Nepal,0
2022,8516,3,1,1,Nepal,0
2022,8516,4,1,1,Nepal,0
2022,8516,2,1,1,Nepal,0
2022,8516,3,1,1,Nepal,0
2022,8516,4,1,1,Nepal,0
2022,8516,8,0,0,Nepal,0
2022,8485,26,1,1,Nepal,0
2022,8485,7,1,1,Nepal,0
2022,8485,10,1,1,Nepal,0
2022,8485,2,1,1,Nepal,0
2022,8485,6,1,1,Nepal,0
2022,8485,1,1,1,Nepal,0
2022,7795,2,0,0,Nepal,0
2022,7864,5,0,0,Nepal,0
2022,7864,6,0,1,Nepal,0
2022,7864,1,0,1,Nepal,0
2022,6694,5,1,0,Nepal,0
2022,6372,9,0,0,Nepal,0
2022,7246,14,1,0,Nepal,0
2022,7035,9,0,0,Nepal,0
2022,7035,4,0,0,Nepal,0
2022,6235,2,1,0,Nepal,0
2021,6141,6,0,0,Nepal,0
2022,7134,19,0,0,Nepal,0
2022,6814,0,1,0,Nepal,0
2022,6814,21,1,0,Nepal,0
2022,6814,26,1,1,Nepal,0
2022,6814,21,1,0,Nepal,0
2022,6814,18,1,0,Nepal,0
2022,6814,17,1,0,Nepal,0
2022,6814,33,1,0,Nepal,0
2022,6814,11,1,0,Nepal,0
2022,6814,17,1,0,Nepal,0
2022,6814,19,1,0,Nepal,0
2022,6814,37,1,0,Nepal,0
2022,6814,5,1,0,Nepal,0
2022,6814,15,1,0,Nepal,0
2022,6814,8,1,0,Nepal,0
2022,6814,15,1,0,Nepal,0
2022,6814,6,1,0,Nepal,0
2022,6814,10,1,0,Nepal,0
2022,6814,10,1,0,Nepal,0
2022,6814,20,1,0,Nepal,0
2022,6814,3,1,0,Nepal,0
2022,6814,9,1,0,Nepal,0
2022,6814,11,1,0,Nepal,0
2022,6814,12,1,0,Nepal,0
2022,6814,12,1,0,Nepal,0
2022,6814,2,1,0,Nepal,0
2022,6814,14,1,0,Nepal,0
2022,6814,1,1,0,Nepal,0
2022,6814,11,1,0,Nepal,0
2022,6814,5,1,0,Nepal,0
2022,6814,4,1,0,Nepal,0
2022,6814,10,1,0,Nepal,0
2022,6814,6,1,0,Nepal,0
2022,6814,3,1,0,Nepal,0
2022,6814,12,1,0,Nepal,0
2022,6814,16,1,0,Nepal,1
2022,6814,3,1,0,Nepal,0
2022,6814,33,1,0,Nepal,0
2022,6814,5,1,0,Nepal,0
2022,6814,4,1,0,Nepal,0
2022,6814,4,0,0,Nepal,0
2022,7525,5,0,0,Nepal,0
2022,7525,15,1,0,Nepal,0
2022,7152,10,0,0,Nepal,0
2022,7152,5,1,0,Nepal,0
2022,7152,6,0,0,Nepal,0
2022,7152,9,1,0,Nepal,0
2022,7152,7,0,0,Nepal,0
2022,7152,5,0,0,Nepal,0
2022,6150,4,0,0,Nepal,0
2022,6361,2,1,0,Nepal,0
2022,6257,3,0,0,Nepal,0
2022,6142,6,0,0,Nepal,0
2022,6423,4,0,0,Nepal,0
2022,8188,11,0,0,China,0
2022,8188,13,0,0,China,0
